County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,810
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,236
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.225621415
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,404
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,58
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.125541126
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,462
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,46
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,14
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.233333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,52
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,29
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.358024691
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,46
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,2
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.041666667
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,4
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,8
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.666666667
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,495
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,118
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.192495922
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,122
BAY,100026,Available,ASCENSION SACRED HEART BAY,21
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.146853147
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,143
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,189
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,42
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.181818182
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,60
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,26
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.302325581
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,40
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,16
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.285714286
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,56
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,21
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,9
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.3
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,418
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,86
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.170634921
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,504
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,91
BREVARD,100028,Available,PARRISH MEDICAL CENTER,84
BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.48
BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,175
BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,137
BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,64
BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.318407960
BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,201
BREVARD,100177,Bed Census,CAPE CANAVERAL HOSPITAL,85
BREVARD,100177,Available,CAPE CANAVERAL HOSPITAL,55
BREVARD,100177,Available Capacity,CAPE CANAVERAL HOSPITAL,0.392857143
BREVARD,100177,Total Staffed Bed Capacity,CAPE CANAVERAL HOSPITAL,140
BREVARD,104024,Bed Census,"CIRCLES OF CARE, INC",32
BREVARD,104024,Available,"CIRCLES OF CARE, INC",20
BREVARD,104024,Available Capacity,"CIRCLES OF CARE, INC",0.384615385
BREVARD,104024,Total Staffed Bed Capacity,"CIRCLES OF CARE, INC",52
BREVARD,110027,Bed Census,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,55
BREVARD,110027,Available,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,5
BREVARD,110027,Available Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0.083333333
BREVARD,110027,Total Staffed Bed Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,60
BREVARD,110036,Bed Census,DEVEREUX FLORIDA,100
BREVARD,110036,Available,DEVEREUX FLORIDA,0
BREVARD,110036,Available Capacity,DEVEREUX FLORIDA,0
BREVARD,110036,Total Staffed Bed Capacity,DEVEREUX FLORIDA,100
BREVARD,120007,Bed Census,PALM BAY HOSPITAL,83
BREVARD,120007,Available,PALM BAY HOSPITAL,32
BREVARD,120007,Available Capacity,PALM BAY HOSPITAL,0.278260870
BREVARD,120007,Total Staffed Bed Capacity,PALM BAY HOSPITAL,115
BREVARD,23960034,Bed Census,MELBOURNE REGIONAL MEDICAL CENTER,36
BREVARD,23960034,Available,MELBOURNE REGIONAL MEDICAL CENTER,69
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.657142857
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,47
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,13
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.216666667
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,50
BREVARD,23960092,Available,VIERA HOSPITAL,34
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.404761905
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,84
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,35
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,9
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.204545455
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,574
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,202
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.260309278
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,776
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,364
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,24
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.061855670
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,388
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,74
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,45
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.378151261
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,200
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,30
BROWARD,100056,Available Capacity,CLEVELAND CLINIC HOSPITAL,0.130434783
BROWARD,100056,Total Staffed Bed Capacity,CLEVELAND CLINIC HOSPITAL,230
BROWARD,100073,Bed Census,HOLY CROSS HOSPITAL,196
BROWARD,100073,Available,HOLY CROSS HOSPITAL,152
BROWARD,100073,Available Capacity,HOLY CROSS HOSPITAL,0.436781609
BROWARD,100073,Total Staffed Bed Capacity,HOLY CROSS HOSPITAL,348
BROWARD,100086,Bed Census,BROWARD HEALTH NORTH,270
BROWARD,100086,Available,BROWARD HEALTH NORTH,10
BROWARD,100086,Available Capacity,BROWARD HEALTH NORTH,0.035714286
BROWARD,100086,Total Staffed Bed Capacity,BROWARD HEALTH NORTH,280
BROWARD,100120,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,47
BROWARD,100120,Available,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,16
BROWARD,100120,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,0.253968254
BROWARD,100120,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,63
BROWARD,100167,Bed Census,PLANTATION GENERAL HOSPITAL,119
BROWARD,100167,Available,PLANTATION GENERAL HOSPITAL,121
BROWARD,100167,Available Capacity,PLANTATION GENERAL HOSPITAL,0.504166667
BROWARD,100167,Total Staffed Bed Capacity,PLANTATION GENERAL HOSPITAL,240
BROWARD,100189,Bed Census,NORTHWEST MEDICAL CENTER,201
BROWARD,100189,Available,NORTHWEST MEDICAL CENTER,89
BROWARD,100189,Available Capacity,NORTHWEST MEDICAL CENTER,0.306896552
BROWARD,100189,Total Staffed Bed Capacity,NORTHWEST MEDICAL CENTER,290
BROWARD,100200,Bed Census,BROWARD HEALTH IMPERIAL POINT,112
BROWARD,100200,Available,BROWARD HEALTH IMPERIAL POINT,2
BROWARD,100200,Available Capacity,BROWARD HEALTH IMPERIAL POINT,0.017543860
BROWARD,100200,Total Staffed Bed Capacity,BROWARD HEALTH IMPERIAL POINT,114
BROWARD,100210,Bed Census,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,147
BROWARD,100210,Available,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,48
BROWARD,100210,Available Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,0.246153846
BROWARD,100210,Total Staffed Bed Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,195
BROWARD,100224,Bed Census,UNIVERSITY HOSPITAL AND MEDICAL CENTER,146
BROWARD,100224,Available,UNIVERSITY HOSPITAL AND MEDICAL CENTER,171
BROWARD,100224,Available Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,0.539432177
BROWARD,100224,Total Staffed Bed Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,317
BROWARD,100225,Bed Census,MEMORIAL REGIONAL HOSPITAL SOUTH,101
BROWARD,100225,Available,MEMORIAL REGIONAL HOSPITAL SOUTH,18
BROWARD,100225,Available Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,0.151260504
BROWARD,100225,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,119
BROWARD,100228,Bed Census,WESTSIDE REGIONAL MEDICAL CENTER,188
BROWARD,100228,Available,WESTSIDE REGIONAL MEDICAL CENTER,62
BROWARD,100228,Available Capacity,WESTSIDE REGIONAL MEDICAL CENTER,0.248
BROWARD,100228,Total Staffed Bed Capacity,WESTSIDE REGIONAL MEDICAL CENTER,250
BROWARD,100230,Bed Census,MEMORIAL HOSPITAL PEMBROKE,122
BROWARD,100230,Available,MEMORIAL HOSPITAL PEMBROKE,11
BROWARD,100230,Available Capacity,MEMORIAL HOSPITAL PEMBROKE,0.082706767
BROWARD,100230,Total Staffed Bed Capacity,MEMORIAL HOSPITAL PEMBROKE,133
BROWARD,103027,Bed Census,ST ANTHONY'S REHABILITATION HOSPITAL,10
BROWARD,103027,Available,ST ANTHONY'S REHABILITATION HOSPITAL,16
BROWARD,103027,Available Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,0.615384615
BROWARD,103027,Total Staffed Bed Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,26
BROWARD,103028,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,94
BROWARD,103028,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,16
BROWARD,103028,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0.145454545
BROWARD,103028,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,110
BROWARD,104001,Bed Census,SOUTH FLORIDA STATE HOSPITAL,303
BROWARD,104001,Available,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Available Capacity,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Total Staffed Bed Capacity,SOUTH FLORIDA STATE HOSPITAL,303
BROWARD,104015,Bed Census,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,26
BROWARD,104015,Available,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,24
BROWARD,104015,Available Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0.48
BROWARD,104015,Total Staffed Bed Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,50
BROWARD,104026,Bed Census,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,104026,Available,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Available Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Total Staffed Bed Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,110019,Bed Census,BROWARD HEALTH CORAL SPRINGS,154
BROWARD,110019,Available,BROWARD HEALTH CORAL SPRINGS,9
BROWARD,110019,Available Capacity,BROWARD HEALTH CORAL SPRINGS,0.055214724
BROWARD,110019,Total Staffed Bed Capacity,BROWARD HEALTH CORAL SPRINGS,163
BROWARD,111527,Bed Census,MEMORIAL HOSPITAL WEST,327
BROWARD,111527,Available,MEMORIAL HOSPITAL WEST,35
BROWARD,111527,Available Capacity,MEMORIAL HOSPITAL WEST,0.096685083
BROWARD,111527,Total Staffed Bed Capacity,MEMORIAL HOSPITAL WEST,362
BROWARD,23960050,Bed Census,MEMORIAL HOSPITAL MIRAMAR,125
BROWARD,23960050,Available,MEMORIAL HOSPITAL MIRAMAR,53
BROWARD,23960050,Available Capacity,MEMORIAL HOSPITAL MIRAMAR,0.297752809
BROWARD,23960050,Total Staffed Bed Capacity,MEMORIAL HOSPITAL MIRAMAR,178
CALHOUN,100112,Bed Census,CALHOUN-LIBERTY HOSPITAL,4
CALHOUN,100112,Available,CALHOUN-LIBERTY HOSPITAL,6
CALHOUN,100112,Available Capacity,CALHOUN-LIBERTY HOSPITAL,0.6
CALHOUN,100112,Total Staffed Bed Capacity,CALHOUN-LIBERTY HOSPITAL,10
CHARLOTTE,100047,Bed Census,BAYFRONT HEALTH PUNTA GORDA,91
CHARLOTTE,100047,Available,BAYFRONT HEALTH PUNTA GORDA,36
CHARLOTTE,100047,Available Capacity,BAYFRONT HEALTH PUNTA GORDA,0.283464567
CHARLOTTE,100047,Total Staffed Bed Capacity,BAYFRONT HEALTH PUNTA GORDA,127
CHARLOTTE,100077,Bed Census,BAYFRONT HEALTH PORT CHARLOTTE,135
CHARLOTTE,100077,Available,BAYFRONT HEALTH PORT CHARLOTTE,86
CHARLOTTE,100077,Available Capacity,BAYFRONT HEALTH PORT CHARLOTTE,0.389140271
CHARLOTTE,100077,Total Staffed Bed Capacity,BAYFRONT HEALTH PORT CHARLOTTE,221
CHARLOTTE,100236,Bed Census,FAWCETT MEMORIAL HOSPITAL,167
CHARLOTTE,100236,Available,FAWCETT MEMORIAL HOSPITAL,86
CHARLOTTE,100236,Available Capacity,FAWCETT MEMORIAL HOSPITAL,0.339920949
CHARLOTTE,100236,Total Staffed Bed Capacity,FAWCETT MEMORIAL HOSPITAL,253
CITRUS,100023,Bed Census,CITRUS MEMORIAL HOSPITAL,132
CITRUS,100023,Available,CITRUS MEMORIAL HOSPITAL,72
CITRUS,100023,Available Capacity,CITRUS MEMORIAL HOSPITAL,0.352941176
CITRUS,100023,Total Staffed Bed Capacity,CITRUS MEMORIAL HOSPITAL,204
CITRUS,100249,Bed Census,BAYFRONT HEALTH SEVEN RIVERS,75
CITRUS,100249,Available,BAYFRONT HEALTH SEVEN RIVERS,25
CITRUS,100249,Available Capacity,BAYFRONT HEALTH SEVEN RIVERS,0.25
CITRUS,100249,Total Staffed Bed Capacity,BAYFRONT HEALTH SEVEN RIVERS,100
CLAY,100016,Bed Census,KINDRED HOSPITAL-NORTH FLORIDA,48
CLAY,100016,Available,KINDRED HOSPITAL-NORTH FLORIDA,25
CLAY,100016,Available Capacity,KINDRED HOSPITAL-NORTH FLORIDA,0.342465753
CLAY,100016,Total Staffed Bed Capacity,KINDRED HOSPITAL-NORTH FLORIDA,73
CLAY,100226,Bed Census,ORANGE PARK MEDICAL CENTER,318
CLAY,100226,Available,ORANGE PARK MEDICAL CENTER,38
CLAY,100226,Available Capacity,ORANGE PARK MEDICAL CENTER,0.106741573
CLAY,100226,Total Staffed Bed Capacity,ORANGE PARK MEDICAL CENTER,356
CLAY,23960117,Bed Census,ASCENSION ST VINCENT'S CLAY COUNTY,106
CLAY,23960117,Available,ASCENSION ST VINCENT'S CLAY COUNTY,20
CLAY,23960117,Available Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,0.158730159
CLAY,23960117,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,126
COLLIER,100018,Bed Census,NAPLES COMMUNITY HOSPITAL,208
COLLIER,100018,Available,NAPLES COMMUNITY HOSPITAL,29
COLLIER,100018,Available Capacity,NAPLES COMMUNITY HOSPITAL,0.122362869
COLLIER,100018,Total Staffed Bed Capacity,NAPLES COMMUNITY HOSPITAL,237
COLLIER,110043,Bed Census,"WILLOUGH AT NAPLES, THE",58
COLLIER,110043,Available,"WILLOUGH AT NAPLES, THE",29
COLLIER,110043,Available Capacity,"WILLOUGH AT NAPLES, THE",0.333333333
COLLIER,110043,Total Staffed Bed Capacity,"WILLOUGH AT NAPLES, THE",87
COLLIER,120006,Bed Census,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,181
COLLIER,120006,Available,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,49
COLLIER,120006,Available Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,0.213043478
COLLIER,120006,Total Staffed Bed Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,230
COLLIER,23960025,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960025,Available,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
